place_id,name,address,lat,lon
ChIJt6pvN-62yhQRbg6zHWA6csM,Petronet Akaryakit Istasyonlari,"Gürsel, Çağlayan Kavşağı Altgeçidi 5/A",41.0813548,28.9819504
ChIJmyuJxnm6yhQR3uPwPoJ-Ye8,Gökkuşağı Petrol Ürünleri Ticaret Limited Şirketi,"Yenidoğan Mh, Rami Kışla Caddesi No:94",41.045262,28.916777
ChIJl32zxUvGyhQRuBePRgqKOYk,Birlesik Petrol,"Kozyatağı, İnönü Caddesi No:86 D:5",40.9778273,29.0958477
ChIJAbABF5m5yhQRRCrVLOvuqus,TotalEnergies İstasyonu,"Akaryakıt İstasyonu, Merkez, Kennedy Caddesi",41.0018,28.9725
ChIJOyhMaTq4yhQRP7C54XkqsV4,Full-kar Ava Akaryakıt,"Selimiye, Paralı Otopark No:67",41.00982919999999,29.0122794
ChIJXxZAaTq4yhQRfD4yhPyKp7w,Opet,"Selimiye, Harem Sahil Yolu Caddesi No:2 No: 121",41.0099329,29.0122989
ChIJL2uBjWi3yhQRLe6eNqHAkUU,Petrol Ofisi,"Yenişehir, Irmak Caddesi No:13",41.04138950000001,28.9796923
ChIJxU4kAFC3yhQRrEbokPUJtl0,Shell,"Kaptanpaşa, Piyalepaşa Bulvarı",41.04051,28.967347
ChIJZ3N4OJ-3yhQRQdzjkujrO5E,Rem Guc Sistemleri,Hoş Sohbet Sok. Yuvam Apt. No:1 D:3,41.04168,29.004386
ChIJ3ft0KPa3yhQRFZzAqC75tjU,Petrol Ofisi,"Barbaros, Nuhkuyusu Caddesi No:24",41.0165434,29.030158
ChIJLwBPXBa6yhQRg3H5Iz2AIKw,Petrol Ofisi,"Eyüp Sultan Mah. Topçular Cad, Yeni Yol Sokak No:38",41.03743730000001,28.92571419999999
ChIJjU4goQe3yhQRsMoYsSFw17A,Shell Teşvikiye Mh.,"Teşvikiye, Hakkı Yeten Caddesi No:21",41.055981,28.997641
ChIJ_9KH1eK3yhQRH6HPeO-nSk0,Totalgaz,"Altunizade, Kısıklı Caddesi",41.0230817,29.043051
ChIJ31GzAz23yhQRQ9nC6J9T6Ik,Aytemiz,"Halide Edip Adıvar, Akar Caddesi No:80",41.05946400000001,28.9761064
ChIJ41KsPkWwyhQRPoIhUanWqZI,Oz-Erk Petrol,"Yeni Mahalle, Cebeci Caddesi Doyuran İş Merkezi 98/A, Gaziosmanpaşa",41.0805567,28.8945446
ChIJARWgoqxqzhQRSFaj_F-rvQM,Petrol Ofisi,"Topçular, Rami Kışla Caddesi No:35",41.03872700000001,28.9219261
ChIJVyFqWla6yhQRjuufirXyynU,Opet,"Maltepe Mah. Davut Paşa Cad, Topkapı, Serçekale Sokak No: 117",41.0201217,28.90882469999999
ChIJTXT_z1O6yhQReVasbYbkHU8,BP,"Maltepe, Litros Yolu Sokak No:27",41.027885,28.90841460000001
ChIJv0178mTKyhQRZj6yxL92nmU,Petrol Ofisi,"İstinye, İstinye Caddesi No:10/A",41.1140774,29.05982820000001
ChIJB9NFtAUctRQRD6s0kvA6UEA,Shell,"Gayrettepe, Barbaros Bulvarı No:155",41.061408,29.011009
ChIJOQyyOVe2yhQRIKR1l7_9uj8,Shell &Turcas Petrol,Gülbahar Mah Esentepe Mahallesi Karamancılar İş Merkezi Salih Tozan Sokak D:B Blok D:22,41.0695674,29.004862
ChIJV5wR_e62yhQR_ceCBHcNP98,Petrol Ofisi,"Çağlayan, Vatan Caddesi No:3",41.0715661,28.9799037
ChIJ07JcTl62yhQR7qJsQ__xB6g,Petrol Ofisi,"Ortabayır, Talatpaşa Caddesi No:76",41.0787901,29.0029128
ChIJ-f8_rQS3yhQRATdwarJaBsw,Petrol Ofisi,"Gürsel, İmrahor Caddesi No:13-15/A",41.0755162,28.9698134
ChIJC82RxMekyhQRcDmgq3kqruw,Petrol Ofisi,"Merkez, Develi Sokak No:1",41.07874729999999,28.9721915
ChIJIXE5NaTMyhQRaOXhZYa2s_g,TotalEnergies İstasyonu,"Eski, Polonezköy Yolu No:19",41.1216574,29.146211
ChIJA4xdayDLyhQRoA9pQdqWdj8,Shell,"Kelle İbrahim Cd, Gümüşsuyu, Paşabahçe Yolu No:16",41.130613,29.093542
ChIJpR1NjD_LyhQR7exQIg9VL0Y,Pak Petrol,"Gümüşsuyu, Kelle İbrahim Caddesi No:17",41.130556,29.093543
ChIJVS6lSVC1yhQRZaayUzKTMD8,Shell,"Büyükdere, Çayırbaşı Caddesi No:1",41.156015,29.0357365
ChIJu_i0xZ62yhQRUjb2FMlOBEE,Opet,Hamidiye Mah. Cendere Cad. No: 63 Cendere,41.08956939999999,28.9851907
ChIJF04p4efOyhQRPoY89QLlcL0,Petrol Ofisi,"Merkez, Erseven Sokak No:3/A",41.0852408,28.97811309999999
ChIJdenhKr61yhQREOHDJO6e4-4,Turksis,"Maslak, Ahi Evran Caddesi Polaris Plaza",41.112598,29.018642
ChIJI3fQU7-1yhQR7nLcjqvKP80,TPP,"Maslak, 13. Sokak No:29",41.1137682,29.0172224
ChIJ99RmoYrJyhQR6Azj9kczoh4,Shell,"Göksu, Göksu Caddesi No:2",41.080019,29.070735
ChIJtw5jbr21yhQRNWqwHK1lRfA,Termo,"Maslak, Adnan Kahveci Bulv./35. Sok. No:14/B",41.119793,29.02168
ChIJCbGMjsywyhQRvi9gfDEJq7g,Aytemiz,"Mehmet Akif Ersoy, Silahtar Caddesi No.45",41.0629372,28.9505675
ChIJm3W06ErKyhQRE8sXQCnt2Zw,Opet - Adar Enerji Petrol,"Çubuklu, Orhan Veli Kanık Caddesi No:59A",41.09491,29.09071799999999
ChIJb6K0bDfIyhQRfVUYciw-jXM,Total Hamdi Petrol,"Kirazlıtepe, Mehmet Akif Ersoy Caddesi No:126",41.03650989999999,29.06541429999999
ChIJqbud4CnIyhQRv0AIPxRq634,BP,"Burhaniye, Akşemseddin Sokak No:1",41.0240944,29.0549338
ChIJW4_DpcLOyhQR68tgfwJ4-kw,Mogaz,"Huzur, Aşık Şenlik Caddesi No:6",41.0278501,29.16193659999999
ChIJX-Sh3fzfn0ARnE8UPv1A4ps,Petrol Ofisi,"Sarıyer, Meserburnu Caddesi No:73",41.1662036,29.0565026
ChIJfflA0fzfn0ARGPLnyGk7kPA,United Millenium,"Sarıyer, Meserburnu Caddesi No:90",41.1668076,29.0569593
ChIJaTubgwzgn0ARhMhh1EM-q-c,Shell,Eski Kilyos Caddesi,41.173188,29.053981
ChIJy_Gifi3KyhQR702IJ1aJCYo,Petrol Ofisi,"Zekeriyaköy, Arifane Sok No:4",41.191402,29.0369973
ChIJ0RMt4vPJyhQRCkDysZXmF2w,Petrol Ofisi,"Kısıklı, Alemdağ Caddesi No:66/1",41.022549,29.0752495
ChIJZYqoz-fIyhQRv5bjrSIjDGU,Pehlivan Petrol Ekipmanlari San. Ve Tic. Ltd. Şti.,"Atakent, Alemdağ Caddesi No:382",41.022796,29.1134795
ChIJd6KeZibjLRURMZ_oMZcuC9c,Petrol Ofisi,"Atakent, Akdeniz Caddesi No:28",41.0132262,29.1072872
ChIJK2_j57mwyhQRwu9TIaQMsKk,Petrol Ofisi,"Merkez, Silahtarağa Caddesi No:65",41.0575742,28.9419496
ChIJ84Nc5dDIyhQRYwS_IPDMjQM,Shell,"AŞAĞI DUDULLU KARATOPRAK MEVK 17-19 Ihlamurkuyu Mahallesi, Aşağı Dudullu, Karatoprak Mevk 17-19",41.020651,29.129638
ChIJR1CA4a-xyhQRnUX56HqqC5U,Petrol Ofisi,"Yıldıztabya, Yıldıztabya Alibeyköy Caddesi No:167-169/A",41.0656911,28.9335604
ChIJG9sPOm_DyhQRPDRZ2SHcc0M,Petrol Ofisi,"Çavuşoğlu, Spor Caddesi No:61",40.8966655,29.2034796
ChIJ-xSarPDPyhQRDipoYyJtSm0,BP,"Fatih, Selahaddin Eyyubi Caddesi No:19",40.9695385,29.2200447
ChIJUyMHPx_EyhQRCCy8lD7Ss7A,Opet Maltepe,"Bağlarbaşı, Refahevler Sokak Yanyolu No: 2",40.9292108,29.1463745
ChIJ063oFB_PyhQR8J0fs8460yw,Opet - Petrol,"Yukarı Dudullu, Necip Fazıl Bulvarı No:4/1",41.01420999999999,29.1638139
ChIJcePOG1TOyhQRHieRA1iEZ7Q,Aytemiz - Slope Oil,"Çamlık, Muhsin Yazıcıoğlu Caddesi No:64, Çekmeköy",41.014363,29.190383
ChIJ29ge7WbPyhQR7uRztvzjXwQ,Opet,"Mimar Sinan Mah, Küçükbakkalköy, Üsküdar Caddesi No: 1",40.9839113,29.1658581
ChIJVfhOGYLRyhQRr4EIBl38BGc,Petrol Ofisi,"Meclis, Atatürk Caddesi No:59",41.00850999999999,29.2016432
ChIJsZo-BEfPyhQRUAyJRWp6GsY,Petroturk,"Yukarı Dudullu, Bostancı Yolu Cad./şehit Sok. No:49",40.9996978,29.154044
ChIJMxBGQjHOyhQRStJK-YvRiD0,Opet,"İnönü Mahallesi, Sarıgazi, Atatürk Caddesi No: 143",41.0084863,29.21597
ChIJ92udm6TGyhQRYSEYHyUzMdU,Shell,"ADA:263, Altayçeşme, PAF:15/2 PAR:322 No:365",40.929363,29.129496
ChIJlVxAvkzOyhQRoztoE2te_H8,Opet - Okurlar Petrol,"Sarıgazi, Atatürk Caddesi No:18",41.0079017,29.2018104
ChIJk5nJfp7PyhQRK_UJIgeLuKo,Ekip Gaz,"Bağlarbaşı, Sakarya Sokak Malte Plaza No: 35 İç Kapı No: 65",40.93449469999999,29.1384778
ChIJn-MIQc_HyhQRyccAXWtuI8k,Petrol Ofisi,"Merdivenköy, Karaman Caddesi No:9",40.9899271,29.08207209999999
ChIJa2BR0MrHyhQRbXFubwKpmus,Total İstasyonu Kozyatağı,"Sahrayicedit mahallesi, Kozyatağı, Halk Sokak 39/B",40.9835567,29.0918578
ChIJl5JdBLfHyhQRCbpSTX4Pqf8,Petrol Ofisi,"Sahrayı Cedit, Atatürk Caddesi No:17",40.98139190000001,29.0811442
ChIJOQBw0o_HyhQRofWobNUQzTY,Opet,"Feneryolu, Fahrettin Kerim Gökay Caddesi No:140",40.984198,29.0569476
ChIJtXI5Xj7GyhQR6W02ghpLutA,Mazot Servisi - Jenaratör mazotu -yatlara mazot- toptan mazot,"Küçükbakkalköy, Çandarlı Sokak No:7",40.97974440000001,29.1134648
ChIJ6z-24XlBLxURf4modPKE9Xk,Öz Petrol Otomotiv,"Fenerbahçe Mah. Selami Çeşme Mevki No: 216 Opet Yanı, Bağdat Caddesi",40.97527289999999,29.0523237
ChIJ29-LIoLHyhQRQ3sOH2Zv3ys,Shell,"Fenerbahçe, Bağdat Caddesi",40.97522699999999,29.052393
ChIJTzy8KxDGyhQRFPKx80Ag9wo,bp,"Kayışdağı, Kayışdağı Caddesi No:147",40.97939900000001,29.1274414
ChIJB-SgQlDGyhQRcfFQaWF3bDo,Aytemiz,"Kozyatağı, E 80 Yanyolu",40.96746319999999,29.10261959999999
ChIJsfEeyv_GyhQRXJi8ZnwCIwI,Petrol Ofisi,"Kozyatağı, Kocayol Caddesi No:58/1",40.9664572,29.103408
ChIJQ1irz1XPyhQR5UH6Ir6NgrU,Opet - Petrol,"Kayışdağı, Dudullu Caddesi No:30",40.9877163,29.1438554
ChIJQVN0r0fPyhQRRAkfoOFnYuw,Enerji Petrol Gaz,"Yukarı Dudullu, Bostancı Yolu Cad./şehit Sok. No:44",40.9995753,29.1538059
ChIJs_Ab4EbPyhQRqg9jTythHYw,Shell,"Necip Fazıl Bulvarı, Şerifali, Şehit Sokak A Blok 52",40.999028,29.154951
ChIJ54JFPe6yyhQRVAFJMgIAnfw,Shell,"Göktürk Merkez, İstanbul Caddesi",41.17679999999999,28.8902
ChIJVVVVVZWyyhQRgds-j3bm1qc,Aygaz Tup Bayi,"Göktürk Merkez, Kazıklıbağ Sok. No:31",41.1871598,28.8829816
ChIJazpA7uG5yhQRAL4_j254d5Y,Petrol Ofisi,"Yunus Emre, Murat Çelebi Caddesi No:55",41.0951052,28.8957755
ChIJL3acSV-wyhQReeKTdq8L4fM,Shell,"Hekimsuyu Caddesi, Yeni Mahalle Caddesi 19/A-19/B",41.0743695,28.9050247
ChIJz-fZWTWwyhQRwzjBchG2ciY,Aytemiz,"Esentepe, Cengiz Topel Cad. No:149-151",41.094088,28.8827515
ChIJY31maEqwyhQRSPi6MNP9nV0,Shell,"Cumhuriyet, Cebeci Caddesi",41.091306,28.884332
ChIJoQSp82CwyhQRQrutQBaLxRs,Shell,"İstanbul Cd, Şemsipaşa, Küçükköy Yolu Caddesi Mah",41.070025,28.906638
ChIJqdWS_0mwyhQRLh3QfZudsOk,Aytemiz,"Cumhuriyet, Ertuğrul Gazi Caddesi No:67",41.0899191,28.8826923
ChIJz8B-nGCwyhQRLp9liWU8nxo,Aytemiz,"Hürriyet, Cengiz Topel Caddesi No:141",41.070474,28.9022876
ChIJt9tWXSfjn0ARrSbvHepwqn0,Aytemiz oil,Mithatpaşa O-6,41.2364167,28.9077628
ChIJPyzmk9axyhQRiCMNMRoc01o,Lorin Petrol,"No:39/, Cebeci, 2455. Sokak No:5",41.10544399999999,28.863607
ChIJ01oQ8XXXn0ARt6niJVNCmvM,Total Özşenli Petrol,"İshaklı, Serinsu Caddesi 26/A",41.13272200000001,29.28263859999999
ChIJfcEYLpLSyhQRR-ka8mMFBBk,Aytemiz,"Reşadiye, Alemdağ-Reşadiye Yolu NO:184",41.07872,29.25032499999999
ChIJ43Sd4zrKyhQRsn-KU3_8oU0,Ptt - Otağtepe Şb.,Türkiye,41.088929,29.078329
ChIJF7A2lW22yhQRfQtcfpduZMY,QTR Global,"No:10, Menekşeli Sokak",41.084224,29.018377
ChIJCecnmi3TyhQR9T_LppEYsIM,Shell,"Ömerli, Kuzey Marmara Otoyolu",41.09217100000001,29.287741
ChIJbwWiMnK2yhQRvuhwtZBL4-E,Shell,"Uğur Mumcu Caddesi, Levent, Köyü No:1",41.087632,29.017555
ChIJn9qEe562yhQRIt_d74Y_8gQ,Zengin Petrol opet,"Hamidiye, Cendere Caddesi No : 97",41.10129310000001,28.98015700000001
ChIJ6a0zk2HKyhQRa_0cw_VBf-A,Shell,"Yeniköy, Köybaşı Caddesi",41.117728,29.064415
ChIJf1YEvP3fn0ARxEGhoMrnDcw,ExxonMobil,Yalıköy Serviburnu Cad. No:19,41.1427454,29.07383
ChIJG5a6KgDfn0ARnaBL4LT6tzc,Opet,"Anadolufeneri, Anadolu Feneri Yolu No:4",41.1972646,29.1473357
ChIJC8iDI33en0ARVs_gdUscNJk,Aygaz Otogaz,Poyraz,41.19886400000001,29.146463
ChIJ1WExWRTfn0ARmwSKJoqhNwM,OPET (KARİS),Poyraz,41.1990522,29.1486661
ChIJAVnYQGTfn0ARyJU6geQW8gY,Total FIND-PET PETROL,"Akbaba, Maraş Caddesi NO:54",41.1484311,29.1132538
ChIJMQdobh_LyhQRhDAhVhDE9Fg,Petrol Ofisi,"Gümüşsuyu, Kelle İbrahim Caddesi No:25/A",41.1278125,29.096162
ChIJg4R-AD-1yhQRVOOh7QXZ3g8,Petrol Ofisi,"Cumhuriyet, Haydar Aliyev Caddesi",41.15143940000001,29.0425768
ChIJ2eDTCIDLyhQRWQxJ9d4ASdE,Pronto Erce Tank Temizği,"yeniköy bağlar mevkii, Yeniçeriler Çıkmazı Sokağı no7",41.1251035,29.0553907
ChIJRd_BjGTKyhQR4JP__truuz4,Onur Otomotiv Tic.ve Tekstil A.Ş.,"İstinye, Ressam Hikmet Onat Sokak No:6",41.1143024,29.0600138
ChIJs6eiknrKyhQRivifaW2nbT0,İstanbul Enerji Istmarin Teknepark Akaryakıt İstasyonu,"İstinye, İstinye Caddesi",41.11318,29.05549
ChIJLfcCBLTLyhQR1ZqofSa14NM,Likidgaz,"Rüzgarlıbahçe, Nergis Çıkmazı No:2",41.0954267,29.0979363
ChIJt3blxnnLyhQRYg8-BuDeDus,LİGOİL,"Rüzgarlıbahçe, Cumhuriyet Caddesi No:39",41.09511759999999,29.097528
ChIJWZCTYhXLyhQRhLoQdKcvKy4,Shell,"ADA:789, PAF:247EB1A PAR:4 No:4",41.094747,29.097528
ChIJed1b57vLyhQRY4_v7Gx8dHo,Eneos,"Rüzgarlıbahçe, Cumhuriyet Caddesi 139/A, Kavacik-Beykoz",41.0931887,29.1085563
ChIJ082KM7zLyhQRPET3P8kPTOs,Art Oil,"Fatih, Cumhuriyet Caddesi No:256",41.0925895,29.1126223
ChIJb1aaV0rKyhQRCz2g4MhdjnE,Likid Gaz,"Çubuklu, Öztürk Sokak No:12",41.0952922,29.0895421
ChIJpyZKTom1yhQRLe4SYFtxjJ8,Aytemiz,"Poligon, Katar Caddesi No:21",41.1123156,29.040852
ChIJq8RXKQC1yhQRYJCYuO1gFuk,SREEPB/WORKS-RET-P03,"Reşitpaşa, İTÜ Maslak Kampüsü No:1",41.10962200000001,29.0354173
ChIJFSwA28qjyhQRWYMsme3IS-o,Shell,"Şenlikköy, Kırserdar Sokak No:3",40.972589,28.789897
ChIJP3osnfmjyhQRnfIGi43KUCY,Shell,"ADA:, Beşyol, PAF:21 PAR:10466 No:2",40.996416,28.796569
ChIJD0D12hClyhQRvBVQB54lgrk,Shell,"Yenimahalle, Mahmutbey Caddesi No:172",41.039911,28.833601
ChIJAS1muwqjyhQRAJc2LpzsiDo,Opet Bahçelievler,"Çobançeşme, Adnan Kahveci Bulvarı No: 56",40.9930061,28.8275133
ChIJI3_T5HOjyhQRz3epaAgBzxQ,Shell,"Yeşilköy, Atatürk Havalimanı Yolu",40.986408,28.819599
ChIJNaY2aZSjyhQRyftUtMtA0dI,Opet,"Gültepe, Reyhan Caddesi No: 1 Sefaköy",40.9928452,28.7937251
ChIJP8cJbRalyhQRDNjUkzPkeho,TotalEnergies İstasyonu,"Demirkapı, Bağcılar Asfaltı Caddesi No:57",41.0468423,28.83467709999999
ChIJqx56dmylyhQRQJ4SEuEwx10,Petrol Ofisi,"Göztepe, Bosna Caddesi No:21",41.0567223,28.83052739999999
ChIJ-RgdMx6lyhQRQ_vdKrFpPZI,Petrol Ofisi,"Güneşli, Mahmutbey Caddesi No:113",41.03460689999999,28.8332946
ChIJsbuO5XWkyhQRGDPzFcU9Y6g,M Oil - Oil Perseverance,"Fevzi Çakmak, Halkalı Caddesi No:201",41.00801079999999,28.7947708
ChIJo0TOgsSkyhQRsc4n_YrQgGg,GÜLSOY PETROL,"Yavuz Selim, Birlik Caddesi No:31",41.036653,28.852716
ChIJC55qTk6kyhQR97prxWnZBjk,Canoglu Group,"Mahmutbey, Halkalı Caddesi No:70",41.044765,28.82218799999999
ChIJZUhQUYyjyhQROxhX0AJIYcU,Opet Küçükçekmece,"Sultan Murat, Sultan Murat Caddesi Sefaköy No: 110",41.0026075,28.7874862
ChIJ04v7IDGlyhQRfj7Tzxf77u0,Genç Petrol,"Yavuz Selim, Birlik Caddesi No:85",41.042056,28.851166
ChIJB8bkPq2lyhQRwjCGxPQvjXs,Shell,"Halkalı Merkez, Gökmen Çıkmazı No:7",41.04327800000001,28.803064
ChIJaWYoEfakyhQRBERBdMqOY3w,Shell,"İnönü, Muammer Aksoy Caddesi No:103",41.0246029,28.8063286
ChIJ0TIQOGmlyhQRah3fcyUZvrk,KÖK PETROL SANAYİ VE TİCARET LTD ŞTİ,"Mahmutbey, İnönü Caddesi No:109",41.0588401,28.8311226
ChIJF1Cb6qa6yhQRA4vEKlduLM4,Aytemiz,"Atışalanı, Anadolu Caddesi N0:2a",41.054686,28.863888
ChIJVVVVVeGvyhQRvrq8dhYzSis,Petrol Ofisi,"Oruçreis, Giyimkent Caddesi No:4A",41.07174089999999,28.86821569999999
ChIJCwXnf-akyhQRAh2zStC4Xas,Ergaz,"Hürriyet, Gazi Osman Paşa Caddesi No:39",41.0278157,28.83056939999999
ChIJXXMoAm67yhQRd3ANh28lYnc,Shell,"Veliefendi, Profesör Doktor Turan Güneş Caddesi No:63",40.995113,28.89501599999999
ChIJB0rYDhi7yhQRMb4NTSQpLhU,Oneston,"Mehmet Nesih Özmen, Kayacık Sokak No:20",41.0118231,28.8833969
ChIJ_6CWcGK7yhQR94x4DKHGPic,Opet Zeytinburnu,"Kazlıçeşme, Kennedy Caddesi No:64",40.9816219,28.8907176
ChIJc23QxWqkyhQRWQnLRFrrYmQ,Ercem Petrol Tourism,"Halkalı Merkez, Halkalı Caddesi No:234",41.02881,28.79085
ChIJFfgzay6lyhQRBemgiuYRGm0,Shell,"ADA: - , PAF:19 PAR:1843, Yavuz Selim Mah No:31",41.036766,28.852874
ChIJd4-ACcOkyhQR6Aj8RWKt-Hw,Petrol Ofisi,"Kocasinan Merkez, Mahmutbey Caddesi No:260",41.0206714,28.8403149
ChIJG4_Q-r9etRQRJGq12ueVrpY,Petrol Ofisi,"Kocasinan Merkez, Mahmutbey Caddesi No:214",41.0142191,28.842154
ChIJMXbRNhhFtRQRLP-2_fg1NRI,bp,"Bağlar, Atatürk Caddesi No:64",41.02459729999999,28.82834029999999
ChIJj8LC50ylyhQRMZcnfAzwLI4,Shell,"Tuna, Osmangazi Caddesi 138A",41.052231,28.858141
ChIJjVhHRIGgyhQRravP5nu6G3A,Petrol Ofisi,"Zafer, 185. Sokak No:11/A",41.011574,28.6792724
ChIJ30uwG4agyhQRm6fg6z14pD4,Total,"Yakuplu, Sanayi Caddesi No:1D D:1",41.004438,28.684039
